species_name,diameter_mean,diameter_min,diameter_max,diameter_median,diameter_sd,n,range
ABIES,13.698529411764707,3,35,3,7.798547701763739,34,32
ACERIFOLIA   X,27.30191270860077,2,55,2,10.613163980583064,779,53
ACUMINATA,14.5,2,28,2,12.069244660154448,4,26
ACUTISSIMA,7.87125,3,36,3,4.855551272981984,80,33
AILANTHIFOLIA,25.5,24,27,24,2.1213203435596424,2,3
ALBA,27.875,3,38,3,12.95528022523194,8,35
ALNIFOLIA,4.352678571428571,2,9,2,1.8858183572718175,56,7
ALPINUM,8,8,8,8,NA,1,0
ALTISSIMA,21.5,21.5,21.5,21.5,NA,1,0
AMERICANA,20.86657068062827,0,55,0,11.137393962857574,1910,55
ANAGYROIDES,7.5,5,9.5,5,2.29128784747792,3,4.5
ANTARTICA,4,3,5,3,1.4142135623730951,2,2
AQUIFOLIUM,14.427884615384615,3,43,3,6.958063550915743,52,40
ARAUCANA,7.571428571428571,3,13,3,4.457470989142568,7,10
ARIA,5.10632183908046,0.5,18,0.5,3.64417187292274,87,17.5
ARNOLDIANA X,3.142857142857143,3,4,3,0.3779644730092272,7,1
ATLANTICA,21.714285714285715,4,33,4,11.441361890297934,7,29
AUCUPARIA,6.283333333333333,2,21.5,2,3.873924581953896,105,19.5
AVELLANA,4.9375,3,10,3,2.305854350498809,8,7
AVIUM,14.794444444444444,3,47,3,8.24123866080886,198,44
BABYLONICA,24.4,15,39,15,6.94342214697559,10,24
BACCATA,10.707317073170731,3.5,24,3.5,5.581471143162098,41,20.5
BALSAMEA,10.666666666666666,5,15,5,5.131601439446884,3,10
BANKSIANA,14.714285714285714,12,20,12,3.3022358947782493,7,8
BETULUS,10.46656314699793,2,39,2,8.427744205651976,483,37
BIGNONIOIDES,26.376148409893993,3,50.25,3,7.853193437665072,283,47.25
BILOBA,5.580357142857143,3,21.5,3,5.07948559814859,28,18.5
BLIREANA,9.239583333333334,3,18,3,3.6501036068281283,24,15
BUNGEI,5.5,2,9.5,2,3.5,5,7.5
CALLERYANA,4.75421052631579,2,11,2,1.6927610450156896,285,9
CAMPESTRE,8.165149253731343,0,27.5,0,5.528729657157706,670,27.5
CANADENSIS,3.8860759493670884,3,20,3,2.8090391722225623,79,17
CAPILLIPES,3.3333333333333335,3,4,3,0.5773502691896257,3,1
CAPPADOCICUM,6.287671232876712,2,29.5,2,5.658031293005826,73,27.5
CARICA,4,3,5,3,1,3,2
CARNEA   X,5.8475,3,27,3,5.629770143503806,100,24
CAROLINIANA,4.215909090909091,3,21,3,3.264320377418102,44,18
CERASIFERA,10.957576023391812,0,78,0,6.03874302454867,3420,78
CHINENSE,14.9,7.5,22,7.5,5.583457710057451,5,14.5
CINEREA,22.377777777777776,7,41,7,9.300066764817625,18,34
CIRCINATUM,7.403846153846154,3,13,3,3.3409368408215943,13,10
CISSIFOLIUM,18.5,18.5,18.5,18.5,NA,1,0
COCCINEA,8.14795918367347,3,30,3,5.336567631130768,49,27
COMMUNIS,17.583333333333332,13,22,13,2.9054546402700328,6,9
CONCOLOR,17.285714285714285,3,29.5,3,10.93868190893043,7,26.5
CONTORTA,10.27741935483871,6,24,6,4.835628857926641,31,18
CONTROVERSA,3.4,3,4.5,3,0.5758289219624358,20,1.5
CORDATA,14.50344827586207,0,31,0,5.946185059632812,203,31
